City,LOC_FINAL,SAL_SP,FROG_SP,SNAKE_SP,LIZARD_SP,TURTLE_SP,RBS_OBS,AMTO_OBS,GRFR_OBS,GART_OBS,FOWL_OBS,BULL_OBS,GRAYTR_OBS,PEEP_OBS,NO_SLIMY,ERAT_OBS,NO_WAT_OBS,NO_DUSK,LINED_OBS,DEKAY_OBS,PAINT_OBS,SNAP_OBS,SKINK_OBS,type,Junevisits,Julyvisits,HABITAT_NUM,forest10,field10,stream10,pond10,area,perimeter,imperv,road_length,CONN100,CONN500,CONN1000,forestcover,wetland_types,species pool,city_imperv,city_forest
Baltimore ,CYLBURN ARBORETUM,1,2,1,0,0,0,2,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,Single,NA,NA,2,1,1,0,0,1051399,5938,5.843642612,2376.064,0.123,86.931,295.961,62.616,2,23,45.8,14.6
Baltimore ,DRUID HILL PARK,1,2,3,0,1,6,11,0,9,0,5,0,0,0,8,0,0,0,3,0,3,0,Single,13153,11617,3,1,1,0,1,2253568,6403,8.715482841,623.67,0,22.195,207.456,37.099,4,23,45.8,14.6
Baltimore ,FEDERAL HILL PARK,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Single,904,936,1,0,1,0,0,35742,933,35.18421053,0,0,12.463,162.657,4.842,0,23,45.8,14.6
Baltimore ,FORT MCHENRY NATIONAL MONUMENT,0,2,3,0,2,0,3,0,2,2,0,0,0,0,9,13,0,0,2,12,0,0,Single,693,497,2,0,1,1,0,204797,2393,14.47555556,2845.345,0.001,31.261,184.51,2.84,1,23,45.8,14.6
Baltimore ,GWEN FALLS LEAKIN PARK,1,2,3,0,0,2,1,0,5,0,0,0,0,0,6,2,0,0,5,0,0,0,Multiple,NA,NA,3,1,1,1,0,9042017,46580,3.679753504,34568.464,0,0.059,14.436,63.356,4,23,45.8,14.6
Baltimore ,HERRING RUN PARK,1,0,3,0,0,1,0,0,0,0,1,0,0,0,5,2,0,0,1,0,2,0,Single,7119,6443,3,1,1,1,0,2925784,21877,7.802571166,6579.158,0,0.196,22.534,43.918,5,23,45.8,14.6
Baltimore ,KEYES FIELD,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Single,567,354,2,1,1,0,0,127141,1675,4.090277778,0,0,0.066,11.007,47.16,0,23,45.8,14.6
Baltimore ,LATROBE PARK,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Single,584,502,1,0,1,0,0,79243,1517,35.65217391,33.31,0.002,50.494,262.794,10.304,0,23,45.8,14.6
Baltimore ,MASONVILLE COVE,0,3,1,0,3,0,7,4,3,14,7,0,0,0,2,14,0,0,0,9,20,0,Single,NA,NA,3,1,1,1,0,284197,6754,51.62222222,526.389,0,5.171,71.677,4.133,3,23,45.8,14.6
Baltimore ,NORTH WEST PARK,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Multiple,NA,NA,2,1,1,0,0,177060,2206,4.01010101,16.49,0.299,202.312,510.232,51.838,3,23,45.8,14.6
Baltimore ,PATTERSON PARK,0,2,2,0,1,0,0,1,2,0,27,0,0,0,0,0,0,0,0,0,5,0,Single,3771,3317,2,0,1,0,1,492210,3026,18.20512821,6709.285,0,4.061,90.245,3.742,2,23,45.8,14.6
Baltimore ,STONY RUN PARK,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Multiple,NA,NA,3,1,1,1,0,64274,1805,8.444444444,664.688,0,40.643,344.891,49.889,1,23,45.8,14.6
Baltimore ,WYMAN PARK,1,2,3,0,1,4,7,12,0,0,0,0,0,0,4,1,0,0,3,0,1,0,Multiple,NA,NA,3,1,1,1,0,311479,4445,8.203539823,1697.409,0.12,102.466,464.485,49.681,1,23,45.8,14.6
Baltimore ,WYMAN PARK DELL,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Single,833,660,2,1,1,0,0,39023,798,10.6744186,0,0.339,149.855,512.97,35.628,0,23,45.8,14.6
Bronx,Concrete Plant Park,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,Single,534,467,2,0,1,1,0,18984,1227,81.73684211,0,0.006,38.798,235.612,1.421,0,15,57.6,15.8
Bronx,Hunts Point Riverside Park,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Single,184,341,2,0,1,1,0,6246,415,69.42857143,141.722,0.043,126.426,373.479,5.857,0,15,57.6,15.8
Bronx,New York Botanical Garden/Zoo,2,3,2,0,2,4,0,37,37,0,7,2,0,0,0,0,0,1,0,2,16,0,Single,NA,NA,4,1,1,1,1,2825897,10168,20.08809448,23917.56,0,0.638,64.7,48.808,5,15,57.6,15.8
Bronx,Pelham Bay Park,1,2,4,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,2,0,0,0,Single,15733,17340,3,1,1,1,0,6697257,17152,8.608730692,20451.797,0,0.007,4.822,42.957,5,15,57.6,15.8
Bronx,Riverdale Park,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Multiple,NA,NA,2,1,0,1,0,337723,5702,4.678191489,1309.964,0.225,74.358,371.72,70.814,0,15,57.6,15.8
Bronx,Soundview Park,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Single,8358,8282,3,1,1,1,0,633750,4934,17.61581921,186.32,0.003,15.04,73.654,18.746,0,15,57.6,15.8
Bronx,Van Cortlandt Park,1,2,3,0,2,7,0,0,7,0,7,0,2,0,0,0,0,0,1,3,9,0,Single,14584,13988,3,1,1,0,1,4467730,10171,11.77160121,32040.132,0,6.502,103.539,57.762,4,15,57.6,15.8
Bronx,Wave Hill Public Gardens,1,1,2,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,Single,221,149,2,1,1,0,0,47457,864,8.962264151,714.981,0.6,177.679,596.317,62.189,0,15,57.6,15.8
DC,3 Part Harmony Farm,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Single,NA,NA,2,1,1,0,0,12073,444,9.071428571,0,0,11.357,132.532,15.857,0,28,44.4,17.3
DC,Anacostia Park,0,0,2,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,10,1,6,8,Multiple,NA,NA,3,1,1,1,0,490028,56060,16.54810209,2101.546,0.059,45.213,255.935,13.768,1,28,44.4,17.3
DC,Buzzard Point Park,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Single,NA,NA,2,1,0,1,0,17419,1458,58.94736842,23.008,0.002,99.187,506.713,0,1,28,44.4,17.3
DC,Chesapeake and Ohio Canal,0,2,5,1,1,0,0,0,1,1,0,1,0,0,2,2,0,0,0,0,2,6,Multiple,NA,NA,2,1,0,1,0,1537468,13008,10.35953079,13764.221,0,30.994,215.893,51.158,3,28,44.4,17.3
DC,East Potomac Park,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Single,NA,NA,2,0,1,1,0,1041533,5490,10.87241379,5111.345,0,32.72,332.398,3.201,1,28,44.4,17.3
DC,Fort Bunker Hill Park,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Single,178,187,1,1,0,0,0,28398,674,1.967741935,0,0,8.614,118.565,68.032,0,28,44.4,17.3
DC,Fort Circle Park,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Multiple,NA,NA,2,1,1,0,0,1405837,5420,3.238614496,2747.051,0,17.207,246.675,70.926,1,28,44.4,17.3
DC,Fort Mahan Park,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,Single,464,573,2,1,1,0,0,147464,1933,6.18125,6.677,0,117.519,779.706,61.525,0,28,44.4,17.3
DC,Georgetown Waterfront Park,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,Single,788,795,2,0,1,1,0,27222,1563,78.41935484,35.642,1.376,223.056,744.917,3.194,0,28,44.4,17.3
DC,Glover Archbold Park,2,3,1,1,0,2,6,8,0,0,0,0,0,0,0,0,0,2,0,0,0,2,Multiple,NA,NA,2,1,1,0,0,913673,10735,1.315429688,617.791,0,52.449,395.539,76.109,2,28,44.4,17.3
DC,Heritage Island,0,1,3,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,8,Single,NA,NA,3,1,1,0,1,57180,1024,0,0,39.403,436.777,1096.903,17.094,1,28,44.4,17.3
DC,Kenilworth Park & Aquatic Gardens,0,7,5,1,4,0,5,68,2,14,28,3,1,0,10,16,0,0,2,58,32,28,Single,453,613,4,1,1,1,1,1482962,8669,9.57,74.445,0.001,127.429,645.161,25.514,5,28,44.4,17.3
DC,Kingman Island,0,1,3,1,1,0,1,0,0,0,0,0,0,0,4,0,0,0,3,0,0,3,Single,NA,NA,4,1,1,1,1,392170,5783,19.4295612,603.152,2.925,292.7,1001.108,17.781,1,28,44.4,17.3
DC,Lady Bird Johnson Park,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Multiple,NA,NA,3,1,1,1,0,525780,4831,20.94137931,8314.952,0.025,126.852,609.437,16.952,2,28,44.4,17.3
DC,Melvin C Hazen Park,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Single,559,605,2,1,1,0,0,60235,1219,1.95,0,0.035,97.723,581.38,73.456,1,28,44.4,17.3
DC,National Mall,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Multiple,NA,NA,4,1,1,1,1,1897445,9883,39.01379638,16359.435,0.011,91.079,494.429,6.261,2,28,44.4,17.3
DC,Pinehurst Parkway Park,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,Multiple,NA,NA,1,1,0,0,0,115696,4120,2.092307692,0,0,22.267,269.687,70.592,1,28,44.4,17.3
DC,Rock Creek Park,3,5,6,1,3,45,36,3,10,1,17,0,0,0,41,22,5,8,5,7,19,0,Multiple,NA,NA,3,1,1,1,0,9401217,41211,3.832631579,37055.79,0,6.131,89.504,70.285,3,28,44.4,17.3
DC,The Yards Park,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Single,912,695,2,0,1,1,0,36928,1806,86.24390244,86.125,0.216,157.739,554.635,0,1,28,44.4,17.3
DC,Theodore Roosevelt Island,0,6,7,2,2,0,8,18,20,2,0,1,3,0,10,2,0,0,7,5,12,56,Single,NA,NA,3,1,1,1,0,369004,2707,1.651105651,954.756,0.114,105.653,564.784,63.629,3,28,44.4,17.3
DC,Tregaron Conservancy,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Single,NA,NA,2,1,1,0,0,159376,3072,3.838150289,460.144,0.022,60.602,447.914,62.364,1,28,44.4,17.3
DC,Tudor Place Historic House & Garden,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Single,162,128,2,1,1,0,0,21583,609,17.04166667,0,0.024,92.217,568.066,37.167,0,28,44.4,17.3
DC,United States Botanical Garden,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Single,NA,NA,2,1,1,0,0,18163,614,68.38095238,198.264,0,47.475,472.717,0,0,28,44.4,17.3
DC,United States National Arboretum,1,2,7,1,2,0,5,0,3,0,0,0,1,0,4,4,0,1,1,4,1,16,Multiple,NA,NA,4,1,1,1,1,2453075,9485,10.54,11423.169,0.001,117.88,589.815,36.692,4,28,44.4,17.3
DC,Watts Branch Park,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Multiple,NA,NA,2,1,0,1,0,142597,4544,17.30625,358.021,0,13.88,225.224,30.738,2,28,44.4,17.3
DC,West Potomac Park,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Single,700,659,2,0,1,1,0,278369,3338,17.39542484,1914.344,0.063,281.761,977.242,8.154,1,28,44.4,17.3
Indianapolis,Broad Ripple Park,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Single,1027,977,3,1,1,1,0,150213,1628,7.71,2.663,0,4.053,59.133,24.849,1,24,36.6,12.25
Indianapolis,Butler University,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Single,3526,3705,3,1,1,1,0,486635,3666,9.736549165,859.285,0,20.429,165.922,28.15,2,24,36.6,12.25
Indianapolis,Eagle Creek Park,3,7,3,1,4,16,12,12,4,1,5,2,5,0,0,9,0,0,0,14,4,1,Single,9781,8684,4,1,1,1,1,20428160,28982,3.527813257,42880.111,0,0,0.07,32.1,5,24,36.6,12.25
Indianapolis,Fort Harrison State Park,1,2,1,1,2,4,0,1,0,0,0,1,0,0,0,0,0,0,5,2,1,2,Single,NA,NA,3,1,1,1,0,8021930,17699,3.145470872,8563.244,0,1.247,27.427,46.638,4,24,36.6,12.25
Indianapolis,Franklin Township Community Park,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Single,41,77,2,0,1,0,1,676529,3500,4.86,648.162,0,0.176,13.301,22.743,4,24,36.6,12.25
Indianapolis,Garfield Park,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,Single,2263,1885,2,0,1,1,0,497305,3279,29.42286751,3449.263,0,0.056,5.598,11.163,1,24,36.6,12.25
Indianapolis,Holliday Park Nature Center,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Multiple,NA,NA,3,1,1,1,0,405753,2903,8.015521064,539.109,0,3.083,56.686,36.455,2,24,36.6,12.25
Indianapolis,Indianapolis Zoo/White River State Park,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,Multiple,4319,4055,3,1,1,1,0,309396,3046,49.51917404,12.591,0,0.073,8.995,4.737,1,24,36.6,12.25
Indianapolis,Jameson Camp,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Single,NA,NA,4,1,1,1,1,990948,7473,8.696363636,447.69,0,0,0.018,21.881,3,24,36.6,12.25
Indianapolis,Nina Mason Pulliam EcoLab,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,Single,NA,NA,3,1,1,0,1,296773,2660,10.3,133.844,0,29.107,177.995,39.215,3,24,36.6,12.25
Indianapolis,Oldfileds-Lily House and Gardens,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Multiple,NA,NA,3,1,1,0,0,738394,3621,4.837408313,1151.128,0,33.902,208.327,26.188,4,24,36.6,12.25
Indianapolis,Paul Ruster Park,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Multiple,NA,NA,4,1,1,1,1,763930,4452,2.486454653,0,0,0,0.337,31.567,3,24,36.6,12.25
Indianapolis,Skiles Test Nature Park,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Single,486,387,2,1,1,0,0,335041,2859,1.727762803,0,0,6.113,135.699,46.296,0,24,36.6,12.25
Indianapolis,Southeastway Park,0,3,1,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,Single,905,654,3,1,1,1,0,994713,5260,1.193315266,0,0,0.145,11.191,42.212,4,24,36.6,12.25
Indianapolis,Southwestway Park,0,4,2,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,Single,1024,749,3,1,1,0,1,4006503,11543,1.402521387,834.644,0,0,0.006,29.28,4,24,36.6,12.25
Indianapolis,Town Run Trail Park,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,Single,NA,NA,4,1,1,1,1,1736236,6904,2.46,1748.06,0,0.007,3.724,18.242,4,24,36.6,12.25
"Kings County, NY",Floyd Bennett Field/North Forty/MarinePark,1,2,2,NA,1,0,0,0,6,3,0,1,0,0,0,0,0,0,2,1,0,0,Multiple,NA,NA,3,1,1,1,0,9060251,16178,26.49677291,16515.984,0,28.992,217.643,11.856,6,14,72.2,3.5
"Kings County, NY",Green-Wood Cemetery,1,1,0,NA,2,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,Single,219,216,2,0,1,0,1,1754441,5452,25.1801848,0,0,21.374,183.426,25.325,1,14,72.2,3.5
"Kings County, NY",Harbor View Lawn,0,2,0,NA,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Single,NA,NA,3,1,1,1,0,20614,638,90.45833333,0,0,0.086,15.094,2.083,0,14,72.2,3.5
"Kings County, NY",McGuire Fields,0,1,0,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Single,2501,2210,2,1,1,0,0,1127528,7974,17.20896717,4396.023,0,30.455,316.411,14.679,3,14,72.2,3.5
"Kings County, NY",Point Breeze,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Multiple,NA,NA,3,1,1,1,0,453439,4240,28.4970297,3158.577,0,82.554,520.007,3.495,2,14,72.2,3.5
"Kings County, NY",Prospect Park,0,2,0,NA,5,0,0,0,0,1,19,0,0,0,0,0,0,0,0,11,15,0,Multiple,NA,NA,3,1,1,0,1,2184485,6417,12.96703749,9914.336,0,19.12,161.326,40.108,2,14,72.2,3.5
"Kings County, NY",Shore Road Park,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Single,918,759,2,1,1,0,0,305179,8235,36.14492754,108.401,0,0.109,13.578,22.435,0,14,72.2,3.5
Manhattan,Carl Schurz Park,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,Single,3917,3014,2,0,1,1,0,57182,1153,38.90625,562.617,0.022,64.187,380.066,31.688,0,15,72,6.1
Manhattan,Central Park,0,1,3,0,3,0,0,0,3,0,31,0,0,0,0,1,0,0,0,4,26,0,Single,NA,NA,4,1,1,1,1,3370820,9860,16.11217949,19556.766,0,7.584,87.508,41.446,3,15,72,6.1
Manhattan,City Hall Park,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Single,11699,11770,1,1,0,0,0,32973,896,56.69444444,0,0,9.807,60.389,17.056,0,15,72,6.1
Manhattan,Fort Tyron/Washington Park,1,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,Multiple,NA,NA,3,1,1,1,0,753720,8814,19.86170213,8015.454,0.004,76.482,356.498,44.293,0,15,72,6.1
Manhattan,Highbridge Park,1,0,2,0,0,21,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,Single,810,876,1,1,0,0,0,471835,7077,25.03219697,4547.04,0.005,84.835,372.7,48.182,0,15,72,6.1
Manhattan,Inwood Hill Park,1,2,3,0,1,19,1,0,9,1,0,0,0,0,0,0,0,0,6,0,1,0,Multiple,NA,NA,3,1,1,1,0,814318,4628,10.31007752,3003.321,0,21.589,261.549,59.217,1,15,72,6.1
Manhattan,John V. Lindsay East River Park,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Single,4686,4587,2,0,1,1,0,156697,3998,51.23295455,0,0,1.703,25.164,5.466,0,15,72,6.1
Manhattan,Morningside Park,0,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,Single,4135,3695,3,1,1,0,1,136160,2411,25.93377483,489.055,0,10.566,173.452,33.43,0,15,72,6.1
Manhattan,Roosevelt Island Garden Club,2,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,Single,NA,NA,2,0,1,1,0,9597,455,50,0,0.055,62.368,312.507,17.455,0,15,72,6.1
