City,City2,LOC_FINAL,type,Junevisits,Julyvisits,SAL_SP,FROG_SP,SNAKE_SP,LIZARD_SP,TURTLE_SP,RARE_SP,RBS_OBS,AMTO_OBS,GRFR_OBS,GART_OBS,HABITAT_NUM,forest10,field10,stream10,pond10,area,perimeter,road_length,imperv,CONN100,CONN500,CONN1000,forestcover,wetland_types,species pool,exoREPS,exoAMPH,sliders,landscaped
Baltimore,Baltimore,CYLBURN ARBORETUM,Single,NA,NA,1,2,1,0,0,0,0,1,0,0,2,1,1,0,0,1051399,5938,2376.063822,5.843642612,0.122808916,86.93124928,295.9606066,62.61597938,2,23,0,0,0,MIXED
Baltimore,Baltimore,DRUID HILL PARK,Single,13153,11617,1,2,3,0,1,0,7,11,0,0,3,1,1,0,1,2253568,6403,623.6703148,8.715482841,1.37E-05,22.19453413,207.4562052,37.09896249,4,23,1,0,1,MIXED
Baltimore,Baltimore,FEDERAL HILL PARK,Single,904,936,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,35742,933,0,35.18421053,2.75E-06,12.46308216,162.657156,4.842105263,0,23,0,0,0,YES
Baltimore,Baltimore,FORT MCHENRY NATIONAL MONUMENT,Single,693,497,0,2,3,0,2,1,0,3,0,0,2,0,1,1,0,204797,2393,2845.3448,14.47555556,0.001360198,31.26134013,184.510159,2.84,1,23,0,0,0,YES
Baltimore,Baltimore,GWEN FALLS LEAKIN PARK,Multiple,NA,NA,1,2,3,0,0,1,2,1,0,0,3,1,1,1,0,9042017,46580,34568.46426,3.679753504,1.97E-20,0.059352221,14.43579567,63.35582944,4,23,0,0,0,NO
Baltimore,Baltimore,HERRING RUN PARK,Single,7119,6443,1,0,3,0,0,0,1,0,0,0,3,1,1,1,0,2925784,21877,6579.158487,7.802571166,9.08E-17,0.196047645,22.53436169,43.91827365,5,23,1,0,1,NO
Baltimore,Baltimore,KEYES FIELD,Single,567,354,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,127141,1675,0,4.090277778,1.45E-19,0.065912,11.00736632,47.15972222,0,23,0,0,0,YES
Baltimore,Baltimore,LATROBE PARK,Single,584,502,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,79243,1517,33.31044769,35.65217391,0.002188512,50.49377503,262.7940458,10.30434783,0,23,0,0,0,YES
Baltimore,Baltimore,MASONVILLE COVE,Single,NA,NA,0,3,1,0,3,3,0,0,1,0,3,1,1,1,0,284197,6754,526.3892068,51.62222222,1.17E-08,5.171422023,71.67701803,4.133333333,3,23,1,0,1,NO
Baltimore,Baltimore,NORTH WEST PARK,Multiple,NA,NA,1,0,0,0,0,0,1,0,0,0,2,1,1,0,0,177060,2206,16.4897339,4.01010101,0.299263287,202.3116389,510.232491,51.83838384,3,23,0,0,0,YES
Baltimore,Baltimore,PATTERSON PARK,Single,3771,3317,0,2,2,0,1,0,0,0,1,0,2,0,1,0,1,492210,3026,6709.284643,18.20512821,1.07E-09,4.060731484,90.24459344,3.741758242,2,23,1,0,1,YES
Baltimore,Baltimore,STONY RUN PARK,Multiple,NA,NA,0,1,1,0,0,0,0,0,1,0,3,1,1,1,0,64274,1805,664.6880206,8.444444444,0.000100276,40.64265802,344.8910766,49.88888889,1,23,1,0,1,NO
Baltimore,Baltimore,WYMAN PARK,Multiple,NA,NA,1,2,3,0,1,0,2,5,6,0,3,1,1,1,0,311479,4445,1697.40936,8.203539823,0.119953572,102.4659137,464.484874,49.68141593,1,23,1,0,1,NO
Baltimore,Baltimore,WYMAN PARK DELL,Single,833,660,1,0,0,0,0,0,1,0,0,0,2,1,1,0,0,39023,798,0,10.6744186,0.338664895,149.8549375,512.9699801,35.62790698,0,23,0,0,0,MIXED
Bronx,NYC,Concrete Plant Park,Single,534,467,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,18984,1227,0,81.73684211,0.00615444,38.79795023,235.612062,1.421052632,0,15,0,0,1,YES
Bronx,NYC,Hunts Point Riverside Park,Single,184,341,0,1,0,0,0,0,0,0,0,0,2,0,1,1,0,6246,415,141.7215272,69.42857143,0.043104541,126.4263726,373.4793541,5.857142857,0,15,0,0,0,YES
Bronx,NYC,New York Botanical Garden/Zoo,Single,NA,NA,2,3,2,0,2,0,4,0,37,37,4,1,1,1,1,2825897,10168,23917.56046,20.08809448,1.81E-14,0.637978027,64.70021052,48.8078519,5,15,1,0,1,MIXED
Bronx,NYC,Pelham Bay Park,Single,15733,17340,1,2,4,0,0,3,0,0,0,2,3,1,1,1,0,6697257,17152,20451.79675,8.608730692,1.71E-24,0.007389942,4.822030017,42.95701813,5,15,1,0,1,NO
Bronx,NYC,Riverdale Park,Multiple,NA,NA,0,0,1,0,0,1,0,0,0,0,2,1,0,1,0,337723,5702,1309.964168,4.678191489,0.22488627,74.35768508,371.7202141,70.81382979,0,15,0,0,1,NO
Bronx,NYC,Soundview Park,Single,8358,8282,0,0,1,0,0,0,0,0,0,0,3,1,1,1,0,633750,4934,186.319949,17.61581921,0.003223623,15.04018428,73.65397069,18.74576271,0,15,1,0,1,YES
Bronx,NYC,Van Cortlandt Park,Single,14584,13988,1,2,3,0,2,1,7,0,0,7,3,1,1,0,1,4467730,10171,32040.1316,11.77160121,1.03E-07,6.501527129,103.5390892,57.76173212,4,15,0,0,1,NO
Bronx,NYC,Wave Hill Public Gardens,Single,221,149,1,1,2,0,0,0,2,0,0,2,2,1,1,0,0,47457,864,714.9807443,8.962264151,0.599920538,177.6790148,596.3170988,62.18867925,0,15,0,0,1,YES
DC,DC,3 Part Harmony Farm,Single,NA,NA,1,0,0,0,0,0,2,0,0,0,2,1,1,0,0,12073,444,0,9.071428571,0.000143162,11.35747814,132.5316907,15.85714286,0,28,0,0,0,YES
DC,DC,Anacostia Park,Multiple,NA,NA,0,0,2,1,4,2,0,0,0,1,3,1,1,1,0,490028,56060,2101.546494,16.54810209,0.05924886,45.21275031,255.9346202,13.76752768,1,28,2,0,1,YES
DC,DC,Buzzard Point Park,Single,NA,NA,0,0,0,0,1,0,0,0,0,0,2,1,0,1,0,17419,1458,23.00824045,58.94736842,0.002106665,99.18651728,506.7134688,0,1,28,0,0,0,YES
DC,DC,Chesapeake and Ohio Canal,Multiple,NA,NA,0,2,5,1,1,2,0,0,0,1,2,1,0,1,0,1537468,13008,13764.22055,10.35953079,3.02E-05,30.99392716,215.8934711,51.15777126,3,28,1,0,1,NO
DC,DC,East Potomac Park,Single,NA,NA,0,0,0,0,1,0,0,0,0,0,2,0,1,1,0,1041533,5490,5111.345371,10.87241379,0.000266824,32.71992286,332.3977659,3.200862069,1,28,1,0,1,YES
DC,DC,Fort Bunker Hill Park,Single,178,187,1,0,0,0,0,0,3,0,0,0,1,1,0,0,0,28398,674,0,1.967741935,9.33E-05,8.613542931,118.5645042,68.03225806,0,28,0,0,0,NO
DC,DC,Fort Circle Park,Multiple,NA,NA,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,1405837,5420,2747.051074,3.238614496,4.45E-07,17.20687691,246.6753882,70.92559333,1,28,0,0,0,NO
DC,DC,Fort Mahan Park,Single,464,573,1,0,1,0,0,0,6,0,0,0,2,1,1,0,0,147464,1933,6.677083851,6.18125,0.000134877,117.5187058,779.705818,61.525,0,28,0,0,0,NO
DC,DC,Georgetown Waterfront Park,Single,788,795,0,0,1,1,0,0,0,0,0,0,2,0,1,1,0,27222,1563,35.64171699,78.41935484,1.375910038,223.0561732,744.9173606,3.193548387,0,28,1,0,1,YES
DC,DC,Glover Archbold Park,Multiple,NA,NA,2,3,1,1,0,2,2,6,8,0,2,1,1,0,0,913673,10735,617.7909725,1.315429688,4.02E-05,52.4485663,395.5386272,76.109375,2,28,0,0,0,NO
DC,DC,Heritage Island,Single,NA,NA,0,1,3,1,3,3,0,0,0,0,3,1,1,0,1,57180,1024,0,0,39.40270733,436.7774854,1096.903118,17.09375,1,28,1,0,1,NO
DC,DC,HeritageKingmanMainland,Multiple,NA,NA,0,0,2,0,2,0,0,0,0,0,3,1,1,0,1,68280,1810,0,23.03846154,38.75735216,458.6517148,1117.925678,8.448717949,2,28,1,0,1,YES
DC,DC,Kenilworth Park & Aquatic Gardens,Single,453,613,0,7,5,1,4,4,0,5,68,2,4,1,1,1,1,1482962,8669,74.44485501,9.57,0.001445668,127.4293174,645.1609328,25.51397327,5,28,3,0,1,NO
DC,DC,Kingman Island,Single,NA,NA,0,1,3,1,1,2,0,1,0,0,4,1,1,1,1,392170,5783,603.1517175,19.4295612,2.925040307,292.6996049,1001.107864,17.78060046,1,28,1,0,1,NO
DC,DC,Lady Bird Johnson Park,Multiple,NA,NA,0,0,2,1,0,1,0,0,0,0,3,1,1,1,0,525780,4831,8314.952026,20.94137931,0.024966246,126.8515315,609.4372619,16.95172414,2,28,1,0,1,YES
DC,DC,Melvin C Hazen Park,Single,559,605,0,1,0,0,0,1,0,0,0,0,2,1,1,0,0,60235,1219,0,1.95,0.035373568,97.72316144,581.3795458,73.45588235,1,28,1,0,1,NO
DC,DC,National Botanic Garden,Single,NA,NA,0,1,0,0,0,0,0,0,2,0,2,1,1,0,0,18163,614,198.263964,68.38095238,5.83E-06,47.47542381,472.7173443,0,0,28,0,0,0,YES
DC,DC,National Mall,Multiple,NA,NA,0,0,0,0,1,0,0,0,0,0,4,1,1,1,1,1897445,9883,16359.43509,39.01379638,0.010947662,91.07876694,494.4289754,6.261179829,2,28,1,0,1,YES
DC,DC,Pinehurst Parkway Park,Multiple,NA,NA,1,0,2,0,0,1,0,0,0,2,1,1,0,0,0,115696,4120,0,2.092307692,6.09E-08,22.26653471,269.6868189,70.59230769,1,28,1,0,1,NO
DC,DC,Rock Creek Park,Multiple,NA,NA,3,5,6,1,3,6,45,36,3,10,3,1,1,1,0,9401217,41211,37055.79037,3.832631579,3.00E-08,6.130546389,89.50382376,70.28526316,3,28,1,0,1,NO
DC,DC,Theodore Roosevelt Island,Single,NA,NA,0,6,7,2,2,6,0,8,18,20,3,1,1,1,0,369004,2707,954.7555923,1.651105651,0.113914467,105.6532304,564.7841922,63.62899263,3,28,1,0,1,NO
DC,DC,Tregaron Conservancy,Single,NA,NA,1,1,0,0,0,0,1,0,0,0,2,1,1,0,0,159376,3072,460.1438366,3.838150289,0.021746628,60.60161084,447.9143683,62.36416185,1,28,0,0,0,NO
DC,DC,Tudor Place Historic House & Garden,Single,162,128,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,21583,609,0,17.04166667,0.024121354,92.21704613,568.0656835,37.16666667,0,28,0,0,0,YES
DC,DC,United States National Arboretum,Multiple,NA,NA,1,2,7,1,2,4,0,5,0,3,4,1,1,1,1,2453075,9485,11423.16889,10.54,0.001226505,117.8798895,589.8147722,36.69244868,4,28,2,0,1,MIXED
DC,DC,Watts Branch Playground,Multiple,NA,NA,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,142597,4544,358.0205819,17.30625,5.49E-07,13.88006467,225.2235164,30.7375,2,28,0,0,0,NO
DC,DC,West Potomac Park,Single,700,659,0,0,0,0,1,0,0,0,0,0,2,0,1,1,0,278369,3338,1914.343642,17.39542484,0.062795996,281.7614399,977.2424434,8.153594771,1,28,1,0,1,YES
DC,DC,Yards Park,Single,912,695,0,0,0,1,0,0,0,0,0,0,2,0,1,1,0,36928,1806,86.1253136,86.24390244,0.215858547,157.7387229,554.6352565,0,1,28,1,0,1,YES
Indianapolis,Indianapolis,Broad Ripple Park,Single,1027,977,0,0,0,0,1,0,0,0,0,0,3,1,1,1,0,150213,1628,2.663451428,7.71,6.40E-09,4.053367458,59.13328528,24.84939759,1,24,0,0,1,NO
Indianapolis,Indianapolis,Butler University,Single,3526,3705,0,1,0,0,1,0,0,0,1,0,3,1,1,1,0,486635,3666,859.2847677,9.736549165,5.08E-06,20.42902328,165.9215668,28.15027829,2,24,0,0,1,YES
Indianapolis,Indianapolis,Eagle Creek Park,Single,9781,8684,3,7,3,1,4,8,16,12,12,4,4,1,1,1,1,20428160,28982,42880.11099,3.527813257,0,2.80E-06,0.069537516,32.10015415,5,24,0,0,1,NO
Indianapolis,Indianapolis,Fort Harrison State Park,Single,NA,NA,1,2,1,1,2,0,4,0,1,0,3,1,1,1,0,8021930,17699,8563.243568,3.145470872,0,1.247280631,27.42671185,46.63778202,4,24,0,0,1,NO
Indianapolis,Indianapolis,Franklin Township Community Park,Single,41,77,0,0,0,0,1,0,0,0,0,0,2,0,1,0,1,676529,3500,648.1624544,4.86,0,0.176266443,13.3007918,22.74262735,4,24,0,0,1,YES
Indianapolis,Indianapolis,Garfield Park,Single,2263,1885,0,0,1,0,1,0,0,0,0,0,2,0,1,1,0,497305,3279,3449.262708,29.42286751,0,0.055701845,5.598118709,11.16333938,1,24,0,0,1,YES
Indianapolis,Indianapolis,Holliday Park Nature Center,Multiple,NA,NA,2,0,1,0,0,1,1,0,0,0,3,1,1,1,0,405753,2903,539.1085651,8.015521064,3.90E-09,3.082878189,56.68580706,36.45454545,2,24,0,0,1,NO
Indianapolis,Indianapolis,Indianapolis Zoo/White River State Park,Multiple,4319,4055,0,0,1,0,3,1,0,0,0,1,3,1,1,1,0,309396,3046,12.59088984,49.51917404,0,0.073105936,8.994765627,4.737463127,1,24,0,0,1,YES
Indianapolis,Indianapolis,Jameson Camp,Single,NA,NA,0,0,1,0,0,1,0,0,0,0,4,1,1,1,1,990948,7473,447.6899918,8.696363636,0,5.11E-08,0.017710356,21.88090909,3,24,0,0,1,MIXED
Indianapolis,Indianapolis,Nina Mason Pulliam EcoLab,Single,NA,NA,0,0,0,0,2,0,0,0,0,0,3,1,1,0,1,296773,2660,133.8442174,10.3,3.49E-05,29.10720562,177.9950617,39.21472393,3,24,0,0,1,MIXED
Indianapolis,Indianapolis,Oldfileds-Lily House and Gardens,Multiple,NA,NA,0,1,0,0,0,0,0,1,0,0,3,1,1,0,0,738394,3621,1151.127834,4.837408313,2.63E-05,33.90211016,208.3265791,26.18826406,4,24,0,0,1,MIXED
Indianapolis,Indianapolis,Paul Ruster Park,Multiple,NA,NA,0,0,1,0,0,0,0,0,0,0,4,1,1,1,1,763930,4452,0,2.486454653,0,8.78E-05,0.336780822,31.56654888,3,24,0,0,1,MIXED
Indianapolis,Indianapolis,Skiles Test Nature Park,Single,486,387,1,0,0,0,0,0,2,0,0,0,2,1,1,0,0,335041,2859,0,1.727762803,1.00E-10,6.113212415,135.6989968,46.29649596,0,24,0,0,1,NO
Indianapolis,Indianapolis,Southeastway Park,Single,905,654,0,3,1,0,0,0,0,0,2,0,3,1,1,1,0,994713,5260,0,1.193315266,0,0.145440213,11.19132494,42.21228546,4,24,0,0,0,NO
Indianapolis,Indianapolis,Southwestway Park,Single,1024,749,0,4,2,0,0,4,0,0,0,0,3,1,1,0,1,4006503,11543,834.6442402,1.402521387,0,2.17E-08,0.006220558,29.27982891,4,24,0,0,0,MIXED
Indianapolis,Indianapolis,Town Run Trail Park,Single,NA,NA,0,1,2,1,1,3,0,0,0,0,4,1,1,1,1,1736236,6904,1748.059656,2.46,0,0.006558999,3.724308046,18.24248705,4,24,0,0,1,NO
Brooklyn,NYC,Floyd Bennett Field/North Forty/MarinePark,Multiple,NA,NA,1,2,2,0,1,1,0,0,0,6,3,1,1,1,0,9060251,16178,16515.98362,26.49677291,1.02E-05,28.99247337,217.6426933,11.85552577,6,14,0,0,0,MIXED
Brooklyn,NYC,Green-Wood Cemetery,Single,219,216,1,1,0,0,2,1,2,0,0,0,2,0,1,0,1,1754441,5452,0,25.1801848,9.25E-07,21.37355109,183.4257232,25.32546201,1,14,2,0,1,YES
Brooklyn,NYC,Harbor View Lawn,Single,NA,NA,0,2,0,0,0,0,0,0,1,0,3,1,1,1,0,20614,638,0,90.45833333,2.87E-19,0.086349314,15.09362188,2.083333333,0,14,1,0,1,YES
Brooklyn,NYC,McGuire Fields,Single,2501,2210,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,1127528,7974,4396.023303,17.20896717,3.03E-07,30.45521207,316.4110844,14.67894315,3,14,0,0,0,YES
Brooklyn,NYC,Point Breeze,Multiple,NA,NA,0,0,0,0,1,0,0,0,0,0,3,1,1,1,0,453439,4240,3158.57728,28.4970297,4.53E-05,82.553857,520.0066211,3.495049505,2,14,0,0,0,NO
Brooklyn,NYC,Prospect Park,Multiple,NA,NA,0,2,0,0,5,2,0,0,0,0,3,1,1,0,1,2184485,6417,9914.336403,12.96703749,8.29E-07,19.11984345,161.3260166,40.10836424,2,14,4,0,1,MIXED
Brooklyn,NYC,Shore Road Park,Single,918,759,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,305179,8235,108.4005282,36.14492754,4.62E-18,0.109037488,13.57763102,22.43478261,0,14,0,0,0,YES
Manhattan,NYC,Carl Schurz Park,Single,3917,3014,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,57182,1153,562.6169299,38.90625,0.022486081,64.18735217,380.0664217,31.6875,0,15,0,0,0,YES
Manhattan,NYC,Central Park,Single,NA,NA,0,1,3,0,3,0,0,0,0,3,4,1,1,1,1,3370820,9860,19556.76562,16.11217949,4.30E-07,7.584417328,87.50831833,41.4463141,3,15,5,0,1,MIXED
Manhattan,NYC,City Hall Park,Single,11699,11770,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,32973,896,0,56.69444444,8.93E-05,9.807407353,60.389486,17.05555556,0,15,1,0,1,MIXED
Manhattan,NYC,Fort Tyron/Washington Park,Multiple,NA,NA,1,0,2,0,0,1,4,0,0,0,3,1,1,1,0,753720,8814,8015.453617,19.86170213,0.003988358,76.48151801,356.4978601,44.29314421,0,15,0,0,0,MIXED
Manhattan,NYC,Highbridge Park,Single,810,876,1,0,2,0,0,0,21,0,0,3,1,1,0,0,0,471835,7077,4547.039746,25.03219697,0.005040076,84.83506994,372.7002618,48.18181818,0,15,1,0,1,NO
Manhattan,NYC,Inwood Hill Park,Multiple,NA,NA,1,2,3,0,1,1,19,1,0,9,3,1,1,1,0,814318,4628,3003.321191,10.31007752,7.03E-07,21.5887946,261.5485503,59.21705426,1,15,1,0,1,NO
Manhattan,NYC,John V. Lindsay East River Park,Single,4686,4587,1,1,0,0,0,0,0,0,0,0,2,0,1,1,0,156697,3998,0,51.23295455,1.81E-09,1.703029922,25.16409254,5.465909091,0,15,0,0,0,YES
Manhattan,NYC,Morningside Park,Single,4135,3695,0,1,1,0,0,0,0,0,0,0,3,1,1,0,1,136160,2411,489.0554071,25.93377483,6.36E-09,10.56640952,173.452442,33.43046358,0,15,1,0,1,MIXED
Manhattan,NYC,Roosevelt Island Garden Club,Single,NA,NA,2,0,0,0,0,0,1,0,0,0,2,0,1,1,0,9597,455,0,50,0.054866639,62.36847609,312.5068349,17.45454545,0,15,0,0,0,YES
Manhattan,NYC,Trinity Church Cemetary,Single,383,371,0,0,1,0,0,0,0,0,0,1,2,1,1,0,0,67932,1338,128.1940329,34.36842105,2.97E-07,13.76271091,174.0173443,32.93421053,0,15,0,0,0,YES
